4.5036836,-0.96905845,-0.976804,-1.0749835,-1.0796926,-1.0557462
-1.0565927,-1.3075924,-1.1096247,-1.1683512,-1.1909931,4.506992
-0.8039551,-1.0787419,4.627512,-0.85090566,-0.80157185,-1.0143205
-0.90656394,-0.75453156,4.7052784,-1.0658485,-0.6769028,-0.99688506
-1.2285355,-1.2395074,-0.8693817,-1.0697219,4.433004,-1.0299734
-0.78985345,4.468467,-1.0863619,-1.025996,-0.8898603,-1.0989953
-0.94045186,-0.82357776,-1.0675523,4.5008073,-1.190758,-1.1906186
-0.7670112,-0.6484154,-0.8401955,-0.79061854,-0.7440418,4.830238
-1.0190462,-1.0871668,4.6078234,-0.9974279,-0.93567,-0.67330194
-0.81388634,4.781437,-0.7580241,-0.6828576,-0.59283996,-1.0710831
