6.0275955,6.1399536,6.3646774,4.9039993,5.6905136,4.566925,5.8028793,7.1511917,7.825348,5.5781555
3.1661987,3.9527206,3.7279968,4.963951,2.2673264,3.1661987,3.7279968,2.9414825,5.413391,4.0650787
2.5574875,5.2541122,4.3552322,3.4563599,3.7934341,4.692314,3.4563599,4.018158,5.928276,5.029396
6.989029,5.191284,8.786781,6.2025146,4.4047623,4.8542023,6.5395966,6.7643127,3.618248,4.741844
4.955597,4.955597,4.7308807,6.528633,4.843231,3.4949265,5.854477,6.640991,6.528633,4.955597
5.3283615,4.2047653,7.013756,7.2384796,6.6766815,4.7665634,6.1148834,5.440727,4.991287,6.0025177
5.263283,6.049797,6.4992294,7.6228256,3.2408066,5.3756332,7.1733932,6.2745132,5.600357,6.7239532
5.8224792,7.170784,5.5977554,5.5977554,3.4629288,6.6089935,7.395508,5.260681,8.29438,4.4741592
3.9309616,5.95343,5.7287216,6.5152283,4.9421997,6.627594,7.0770264,5.2792816,7.526474,6.5152283
5.0879974,4.8632812,7.559906,5.9868774,4.6385574,3.8520432,5.0879974,5.53743,6.5486755,5.53743
